bay_id,st_marker_id,status,location,lat,lon
1978,3388N,Present,"(-37.80994021141254, 144.9663550816945)",-37.80994021141254,144.9663550816945
5049,9826N,Present,"(-37.825063527438516, 144.97030140300308)",-37.825063527438516,144.97030140300308
5066,9843S,Present,"(-37.825338856212895, 144.96972680509745)",-37.825338856212895,144.96972680509745
6335,13488E,Present,"(-37.81965271469275, 144.95056196112904)",-37.81965271469275,144.95056196112904
2643,10117W,Present,"(-37.80331023671215, 144.94795352191855)",-37.80331023671215,144.94795352191855
3149,5333W,Present,"(-37.81074368237368, 144.95582326375552)",-37.81074368237368,144.95582326375552
6309,13375W,Present,"(-37.81981416605073, 144.949885833992)",-37.81981416605073,144.949885833992
2159,3809S,Present,"(-37.810675871318544, 144.96038209867683)",-37.810675871318544,144.96038209867683
2416,C2654,Unoccupied,"(-37.80962526078701, 144.97133285589797)",-37.80962526078701,144.97133285589797
1941,3302N,Unoccupied,"(-37.80847991966529, 144.97136763202798)",-37.80847991966529,144.97136763202798
5791,12510N,Present,"(-37.815241109617574, 144.97575153747755)",-37.815241109617574,144.97575153747755
4808,9136N,Present,"(-37.830245537568956, 144.96989872350696)",-37.830245537568956,144.96989872350696
6221,13320E,Unoccupied,"(-37.81947607937112, 144.9469872579126)",-37.81947607937112,144.9469872579126
5922,12809S,Unoccupied,"(-37.80297901819951, 144.96714913656768)",-37.80297901819951,144.96714913656768
5078,9862N,Unoccupied,"(-37.825233402659165, 144.9697179393773)",-37.825233402659165,144.9697179393773
4807,9134N,Unoccupied,"(-37.83023590812216, 144.96993112923997)",-37.83023590812216,144.96993112923997
5039,9516N,Present,"(-37.82834237066036, 144.96624216838924)",-37.82834237066036,144.96624216838924
5139,9952N,Present,"(-37.825922046075505, 144.96737764192937)",-37.825922046075505,144.96737764192937
6591,13791W,Unoccupied,"(-37.813069156681486, 144.94064157729275)",-37.813069156681486,144.94064157729275
5033,9509S,Present,"(-37.82846024590137, 144.9664112582788)",-37.82846024590137,144.9664112582788
1943,3308N,Unoccupied,"(-37.808566666741314, 144.97106642235832)",-37.808566666741314,144.97106642235832
5359,8999W,Present,"(-37.82446585801464, 144.9616832423308)",-37.82446585801464,144.9616832423308
568,102E,Unoccupied,"(-37.808697589247046, 144.97193891371268)",-37.808697589247046,144.97193891371268
6039,13089S,Present,"(-37.82108790682098, 144.94282087510769)",-37.82108790682098,144.94282087510769
5057,9834N,Present,"(-37.82509602896108, 144.9701897380374)",-37.82509602896108,144.9701897380374
944,C782,Present,"(-37.81164582074462, 144.96756685664866)",-37.81164582074462,144.96756685664866
5793,12514N,Unoccupied,"(-37.815255785861225, 144.97588635377474)",-37.815255785861225,144.97588635377474
5029,9502N,Present,"(-37.828437104586975, 144.96674232101253)",-37.828437104586975,144.96674232101253
